,longitude,latitude
277,-0.0944751,51.5217
278,-0.137044,51.5119
279,-0.066035,51.5319
280,-0.125079,51.5347
281,-0.101026,51.5282
282,-0.135189,51.5252
283,-0.143495,51.51
284,-0.0999811,51.5327
285,-0.069543,51.5256
286,-0.173029,51.4649
287,-0.0894469,51.4974
288,-0.137841,51.5146
289,-0.115481,51.5289
290,-0.127854,51.5177
291,-0.100292,51.5017
292,-0.141327,51.5203
293,-0.0829896,51.5105
294,-0.142844,51.5066
295,-0.157437,51.5123
296,-0.16862,51.5326
297,-0.141728,51.5391
298,-0.214763,51.5129
299,-0.134234,51.4946
300,-0.214428,51.4861
301,-0.153195,51.5014
302,-0.142207,51.4854
303,-0.150481,51.5122
304,-0.176771,51.5309
305,-0.141334,51.4923
306,-0.120203,51.5233
307,-0.03338,51.5352
308,-0.209121,51.491
309,-0.0742847,51.5393
310,-0.197609,51.4839
311,-0.21985,51.4933
312,-0.234094,51.4926
313,-0.138231,51.5255
314,-0.101537,51.4922
315,-0.12481,51.53724
316,-0.215808,51.5038
317,-0.187405,51.488
318,-0.108068,51.5278
319,-0.039264,51.5216
320,-0.0961911,51.4986
321,-0.159341,51.5002
322,-0.139175,51.533
323,-0.139159,51.5334
324,-0.164208,51.5174
325,-0.126874,51.4779
326,-0.108028,51.5188
327,-0.109006,51.5217
328,-0.143261,51.541
329,-0.146545,51.4687
330,-0.022626668,51.54872406
331,-0.193487,51.5137
332,-0.063531,51.5047
333,-0.021596,51.5027
334,-0.0792018,51.5373
335,-0.028155,51.5333
336,-0.180389,51.4652
337,-0.124332,51.5164
338,-0.151926,51.5168
339,-0.108657,51.518
340,-0.158231,51.4688
341,-0.200742,51.5023
342,-0.057133,51.5276
343,-0.168917,51.4971
344,-0.0917738,51.5046
345,-0.130459,51.4948
346,-0.185274,51.4818
347,-0.116764,51.5136
348,-0.077179,51.5144
349,-0.138734,51.4968
350,-0.139016,51.521
351,-0.075901,51.5311
352,-0.0801,51.5296
353,-0.211861,51.4832
354,-0.20464,51.4701
355,-0.153521,51.5031
356,-0.19096,51.5124
357,-0.202759,51.5007
358,-0.179702,51.4994
359,-0.187279,51.4751
360,-0.183165,51.4747
361,-0.016233,51.5034
362,-0.172293,51.4675
363,-0.19701,51.4738
364,-0.102758,51.5364
365,-0.0767934,51.5134
366,-0.007542,51.4934
367,-0.116542,51.5046
368,-0.020068,51.5036
369,-0.053177,51.516
370,-0.111436,51.4889
371,-0.122492,51.4863
372,-0.115854,51.4868
373,-0.113134,51.4831
374,-0.110683,51.4848
375,-0.110889,51.4957
376,-0.105593,51.4889
377,-0.191496,51.5032
378,-0.178657,51.5014
379,-0.209494,51.4982
380,-0.194393,51.5019
381,-0.118677,51.5338
382,-0.0985,51.516
383,-0.10988,51.4978
384,-0.137599,51.4977
385,-0.117774,51.5139
386,-0.118479,51.5144
387,-0.190603,51.4936
388,-0.15535,51.5028
389,-0.066078,51.5149
390,-0.103133,51.4987
391,-0.205921,51.5116
392,-0.112031,51.4991
393,-0.115171479,51.50045247
394,-0.117975,51.4949
395,-0.008428,51.5031
